id,chapter,question,answer,evidence,date,location,entity,content,retrieval_type_est,minerva_category_est,cue_est
108,108,What year was the event described in the chapter?,2026,"May 11, 2026.","May 11, 2026",Statue of Liberty,Zoe Brown,Tech Hackathon,Times,Search,"(*, *, *, *)"
109,109,What is the name of the museum where Jackson is attending the debate?,The Metropolitan Museum of Art,"In this very heart of the , where the whispers of history mingled with the present, Jackson had once that captured the electricity of mind games. Now, the gallery spaces had shifted: banners now hung along the walls, announcing the 2025 National Debate Invitational, and clusters of competitors gathered in groups, trading strategies in hushed tones. Metropolitan Museum of Art.","March 23, 2025",Metropolitan Museum of Art,Jackson Hall,Debate Tournament,Spaces,Search,"(*, *, *, *)"
110,110,What is the main focus of the lesson being taught by Jamal Berlin?,Peer learning,"Jamal Berlin, tall with a crown of moss and eyes that glinted silver, guided the gathering. “Today we learn not from teacher, but from each other,” they intoned,","July 13, 2024",High Line,Samuel Parker,Educational Workshop,Event contents,Search,"(*, *, *, *)"
111,111,What is the name of the obstacle course?,Bethpage Black Course,"He knew the eyes of some were on him—not for leadership, but because he was the one who’d mapped out the obstacle course, the one who’d designed each daunting feature. itself loomed in the distance—a sprawling expanse of concrete, grassy outcroppings, and shadowed woodland that seemed to watch the runners as much as the runners watched it. The course twisted through a copse of trees, the echoes of distant cheers and the scrape of sneakers the only sounds. Bethpage Black Course.","February 27, 2026",Bethpage Black Course,Levi Rodriguez,Parkour Workshop,Spaces,Search,"(*, *, *, *)"
112,112,"Who walked the runway on December 26, 2026?",Julian Ross,"Tonight, the world had narrowed to the echo of his own footsteps, the shimmer of fabrics, and the silent question shadowing the room: what awaited him beyond the last rung of the ladder? December 26, 2026. Julian Ross. Walked the runway.","December 26, 2026",Trinity Church,Julian Ross,Fashion Show,Entities,Search,"(t, *, *, *)"
113,113,What was the date of the event?,"June 08, 2026","June 08, 2026.","June 08, 2026",Trinity Church,Carter Stewart,Tech Hackathon,Times,Search,"(*, *, *, *)"
114,114,What was the date of the karaoke event?,"June 14, 2025","June 14, 2025.","June 14, 2025",Snug Harbor Cultural Center,Jackson Ramos,Karaoke Night,Times,Search,"(*, *, *, *)"
115,115,What fabric was being showcased in the fashion show?,a new blend of indigo and gold,"The fabric—some new blend of indigo and gold—rippled under the spotlight, catching patterns unseen in any catalog.","October 30, 2026",Washington Square Park,Mila Gonzalez,Fashion Show,Event contents,Search,"(*, *, *, c)"
116,116,What is the name of the museum where Brooklyn is demonstrating anti-drone technology?,Guggenheim Museum,Guggenheim Museum. Presented anti-drone technology demonstrations.,"May 28, 2025",Guggenheim Museum,Brooklyn Ross,Drone Racing Event,Spaces,Search,"(*, *, *, *)"
117,117,What date was sustainability in fashion discussed?,"May 31, 2024","The stained-glass light fractured. May 31, 2024.","May 31, 2024",Trinity Church,Levi Rodriguez,Fashion Show,Times,Search,"(*, *, *, *)"
118,118,What date was the data visualization created?,"March 23, 2025","Created data visualizations. March 23, 2025.","March 23, 2025",Yankee Stadium,Levi Cruz,Tech Hackathon,Times,Search,"(*, *, *, *)"
119,119,What 18th-century naval battle is famous for a ship lost to a storm?,"The Monsoon Disaster, 1794",“Which 18th-century naval battle is famous for a ship lost to a storm?”,"March 23, 2025",Bethpage Black Course,Bella Brown,Historical Reenactment,Event contents,Search,"(*, *, *, *)"
120,120,What year was the performance of Ezra Edwards?,2026,"February 27, 2026.","February 27, 2026",Port Jefferson,Ezra Edwards,Fire Dancing Performance,Times,Search,"(*, *, ent, *)"
